course_code ; metu_credit ; ects_credit ; prerequisites
3580105; 4(3-2); 6.5; ; # PHY105 - GENERAL PHYSICS I
3570260; 3(3-0); 5.0; ; # MAT260 - BASIC LINEAR ALGEBRA
3570119; 5(4-2); 7.5; ; # MAT119 - CALCULUS WITH ANALYTIC GEOMETRY
3570100; 0(2-0); 1.0; ; # CNG100 - COMPUTER ENGINEERING ORIENTATION
3570111; 4(3-2); 4.0; ; # CNG111 - INTRODUCTION TO COMPUTER ENG. CONCEPTS
3550101; 4(4-1); 6.0; ; # ENGL101 - ENGLISH FOR ACADEMIC PURPOSES I
3590101; 0(0-0); 2.0; ; # OCHS101 - OCCUPATIONAL HEALTH AND SAFETY-I

3580106; 4(3-2); 6.5; ; # PHY106 - GENERAL PHYSICS II
3570120; 5(4-2); 7.5; 3570119; # MAT120 - CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES
3590100; 0(1-0); 2.0; ; # BA100 - CAREER PLANNING
3570140; 4(3-2); 4.0; 3570100; # CNG140 - C PROGRAMMING
3550102; 4(4-1); 6.0; 3550101; # ENGL102 - ENGLISH FOR ACADEMIC PURPOSES II

3570219; 4(4-0); 7.0; 3570120; # MAT219 - INTRODUCTION TO DIFFERENTIAL EQUATIONS
3580281; 3(2-2); 5.0; 3580106; # EEE281 - ELECTRICAL CIRCUITS
3570213; 4(3-2); 6.0; 3570140; # CNG213 - DATA STRUCTURES
3570223; 3(3-0); 6.0; ; # CNG223 - DISCRETE COMPUTATIONAL STRUCTURES
3550211; 3(3-1); 4.0; 3550102; # ENGL211 - ACADEMIC ORAL PRESENTATION SKILLS
3530201; 0(2-0); 2.0; ; # HST2201 - HISTORY ELECTIVE I

3570222; 3(3-0); 5.0; 3570120; # CNG222 - STATISTICAL METHODS FOR COMPUTER ENGINEERING
3570232; 4(3-2); 7.0; ; # CNG232 - LOGIC DESIGN
3570242; 4(3-2); 7.0; 3570213; # CNG242 - PROGRAMMING LANGUAGE CONCEPTS
3550311; 4(4-1); 6.0; 3550211; # ENGL311 - ENGLISH FOR ACADEMIC PURPOSES 
3570280; 3(3-0); 6.0; ; # CNG280 - FORMAL LANGUAGES AND ABSTRACT MACHINES
3530202; 0(2-0); 2.0; 3530201; # HST2202 - HISTORY ELECTIVE II

3570300; 0(0-0); 2.0; 3590101; # CNG300 - SUMMER PRACTICE I
3570315; 3(3-0); 6.0; 3570213; # CNG315 - ALGORITHMS
3570331; 3(3-0); 6.0; 3570232; # CNG331 - COMPUTER ORGANIZATION
3570351; 3(3-0); 6.0; 3570213; # CNG351 - DATA MANAGEMENT AND FILE STRUCTURES
3590301; 0(0-0); 2.0; 3590101; # OCHS301 - OCCUPATIONAL HEALTH AND SAFETY-II
3540101; 0(4-0); 2.0; ; # TUR101 - TURKISH I

3570334; 3(3-0); 5.5; 3570331; # CNG334 - INTRODUCTION TO OPERATING SYSTEMS
3570336; 3(2-2); 5.5; 3570232; # CNG336 - INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT
3570350; 3(3-0); 5.5; ; # CNG350 - SOFTWARE ENGINEERING
3570384; 3(3-0); 5.5; 3570219; # CNG384 - SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS
3540102; 0(4-0); 2.0; 3540101; # TUR102 - TURKISH II

3570400; 0(0-0); 2.0; 3590301; # CNG400 - SUMMER PRACTICE II
3570435; 3(3-0); 6.0; ; # CNG435 - DATA COMMUNICATIONS AND NETWORKING
3570477; 3(3-0); 6.0; ; # CNG477 - INTRODUCTION TO COMPUTER GRAPHICS
3570491; 4(2-4); 8.0; ; # CNG491 - COMPUTER ENGINEERING DESIGN I
3570784; 3(3-0); 5.0; ; # CNG784 - COMPUTER GRAPHICS TECHNICAL ELECTIVE I
3570661; 3(3-0); 5.0; ; # CNG661 - CLOUD COMPUTING TECHNICAL ELECTIVE II

3570492; 4(2-4); 8.0; 3570491; # CNG492 - COMPUTER ENGINEERING DESIGN II
3580201; 3(3-0); 5.0; 3570119; #  EEE 201 - Circuits Theory I FREE ELECTIVE
3570123; 3(3-0); 5.0; ; # CNG123 - Parallel & Distributed Computing TECHNICAL ELECTIVE III
3570560; 3(3-0); 5.0; ; # CNG560 - COMPILER DESIGN TECHNICAL ELECTIVE IV
