course_code ; metu_credit ; ects_credit ; prerequisites,
3570119; 5(4-2); 7.5; ;          # MAT 119 - Calculus with Analytic Geometry,
3580105; 4(3-2); 6.5; ;          # PHY 105 - General Physics I,
3570101; 0(2-0); 0; ;            # CNG 101 - Comp. Engineering Orientation,
3570111; 4(3-2); 6.5; ;          # CNG 111 - Intro to Comp. Eng. Concepts,
3560107; 4(3-2); 6.5; ;          # CHM 107 - General Chemistry,
3550101; 4(4-0); 6; ;            # ENGL 101 - Dev. of Reading/Writing I,
3570100; 0(2-0); 0; ;            # CNG 100 - IT & Applications,
3590100; 0(1-0); 0; ;            # BUS 100 - Career Planning,
3570120; 5(4-2); 7.5; 3570119    # MAT 120 - Calc for Several Variables,
3580106; 4(3-2); 6.5; 3580105    # PHY 106 - General Physics II,
3570140; 4(3-2); 6.5; ;          # CNG 140 - C Programming,
3570260; 3(3-0); 5; ;            # MAT 260 - Basic Linear Algebra,
3550102; 4(4-0); 6; 3550101      # ENGL 102 - Dev. of Reading/Writing II,
3590101; 0(0-0); 0; ;            # OCHS 101 - Occupational Health & Safety I,
3570219; 4(4-0); 6.5; 3570120    # MAT 219 - Differential Equations,
3580281; 4(3-2); 6.5; 3570119,3580106    # EEE 281 - Electrical Circuits
3570213; 4(3-2); 6.5; ;          # CNG 213 - Data Structures (prerequisite removed),
3570223; 3(3-0); 5; ;            # CNG 223 - Discrete Computational Structures,
3550211; 3(3-0); 5; ;            # ENGL 211 - Academic Oral Presentations (prerequisites removed),
3540101; 0(2-0); 0; ;            # TUR 101 - Turkish I,
3580330; 3(3-0); 5; 3570120      # STAS 221 - Prob. & Random Variables,
3570242; 4(3-2); 6.5; 3570111    # CNG 242 - Prog. Language Concepts,
3570280; 3(3-0); 5; 3570223      # CNG 280 - Formal Lang. & Abstract Machines,
3580248; 4(3-2); 6.5; ;          # CNG 232 - Logic Design,
3540102; 0(2-0); 0; ;            # TUR 102 - Turkish II (prerequisite removed),
3570315; 3(3-0); 5; 3570213      # CNG 315 - Algorithms,
3570331; 3(3-0); 5; ;            # CNG 331 - Computer Organization (prerequisite removed),
3570351; 3(3-0); 5; ;            # CNG 351 - Data Management,
3550311; 3(3-0); 5; ;            # ENGL 311 - Advanced Comm. Skills (prerequisite removed),
3530201; 0(2-0); 0; ;            # HST 201 - Principles of Atatürk I,
3570300; 0(-); 0; 3590101        # CNG 300 - Summer Practice I (external prereq removed),
3590301; 0(-); 0; ;              # OCHS 301 - Occupational Health and Safety II,
3580347; 4(3-2); 6.5; ;          # EEE 347 - Microprocessors (prerequisite removed),
3570334; 3(3-0); 5; ;            # CNG 334 - Operating Systems (prerequisite removed),
3570384; 3(3-0); 5; 3570219,3570260    # CNG 384 - Signals & Systems
3570350; 3(3-0); 5; 3570213      # CNG 350 - Software Engineering,
3530202; 0(2-0); 0; ;            # HST 202 - Principles of Atatürk II (prerequisite removed),
3570491; 3(2-2); 5; 3570350      # CNG 491 - Senior Project: Design,
3570435; 3(3-0); 5; ;            # CNG 435 - Data Communications,
3570400; 0(-); 0; ;              # CNG 400 - Summer Practice II (prerequisite removed),
3570492; 3(1-4); 5; 3570491      # CNG 492 - Senior Project: Implementation,
